start,end,count,severity,top1_raw,driver,anomaly_score
2025-01-02 15:17:13,2025-01-02 15:42:43,8,medium,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.06392715270573368
2025-01-02 16:04:33,2025-01-02 16:04:33,1,high,roller1_X-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.1321117760934044
2025-01-02 16:04:53,2025-01-02 16:15:23,4,medium,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.06475298818658626
2025-01-02 21:41:32,2025-01-02 21:52:43,8,medium,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.07071384655849555
2025-01-02 21:52:23,2025-01-02 21:52:23,1,high,roller1_Z-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.12323631140431113
2025-01-03 13:10:03,2025-01-03 13:15:42,3,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled,gearbox RMS scaled,-0.0656307576540015
2025-01-03 14:05:22,2025-01-03 14:22:52,5,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.07355506865933537
2025-01-03 14:57:52,2025-01-03 15:13:12,7,medium,motor_X-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.05994287489771677
2025-01-03 15:43:13,2025-01-03 15:54:12,4,medium,gearbox_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.056160435856199564
2025-01-03 18:42:53,2025-01-03 18:44:02,3,medium,motor_Z-Axis_Kurtosis_scaled_roll_mean,motor Kurtosis mean,-0.052993322888387984
2025-01-03 19:21:22,2025-01-03 19:21:22,1,high,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.16822967068317207
2025-01-04 12:48:41,2025-01-04 13:02:51,4,medium,motor_Z-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.05098093147823102
2025-01-04 14:26:02,2025-01-04 14:34:12,4,medium,roller1_Z-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.05790843951819391
2025-01-04 14:53:51,2025-01-04 14:59:32,6,medium,motor_Z-Axis_Kurtosis_scaled_roll_mean,motor Kurtosis mean,-0.11822630150689217
2025-01-04 16:14:31,2025-01-04 16:20:22,4,medium,roller1_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.05344924287449315
2025-01-04 17:53:12,2025-01-04 18:05:21,9,medium,roller2_Z-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.08140982620239867
2025-01-04 22:03:02,2025-01-04 22:15:41,3,medium,motor_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,motor RMS mean,-0.06840557791011403
2025-01-05 02:22:12,2025-01-05 02:22:12,1,high,roller2_X-Axis_Crest_Factor_scaled_volatility,roller2 Crest volatility,-0.14203267361925864
2025-01-06 09:53:50,2025-01-06 10:01:50,6,medium,gearbox_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.06355726320505573
2025-01-06 12:24:00,2025-01-06 12:29:50,4,medium,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.05518019505298566
2025-01-06 13:46:40,2025-01-06 13:56:30,4,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.061820392085679576
2025-01-06 15:17:20,2025-01-06 15:17:20,1,high,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled,gearbox RMS scaled,-0.1257920825761356
2025-01-06 15:48:10,2025-01-06 15:53:50,4,medium,motor_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,motor Peak volatility,-0.07966028982922868
2025-01-06 17:08:10,2025-01-06 17:10:50,3,medium,roller2_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller2 Peak volatility,-0.07653747606011285
2025-01-06 19:07:30,2025-01-06 19:17:11,6,medium,gearbox_X-Axis_Kurtosis_scaled,gearbox Kurtosis scaled,-0.06869948722041275
2025-01-06 21:11:30,2025-01-06 21:25:30,5,medium,roller1_X-Axis_Kurtosis_scaled_roll_std,roller1 Kurtosis std,-0.06012105266517953
2025-01-07 01:23:20,2025-01-07 01:28:19,4,medium,roller1_Z-Axis_Kurtosis_scaled_roll_std,roller1 Kurtosis std,-0.061831403666491536
2025-01-07 07:06:50,2025-01-07 07:06:50,1,high,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.13138229459659434
2025-01-07 07:19:39,2025-01-07 07:19:39,1,high,roller2_Z-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.15000636939234224
2025-01-07 10:08:10,2025-01-07 10:19:59,4,medium,motor_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,motor Peak volatility,-0.0811480256187872
2025-01-07 11:06:10,2025-01-07 11:16:30,5,medium,motor_Z-Axis_Crest_Factor_scaled_volatility,motor Crest volatility,-0.06924460410414002
2025-01-07 23:36:29,2025-01-07 23:42:30,4,medium,motor_X-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.0543602710098855
2025-01-08 01:04:09,2025-01-08 01:05:59,5,medium,roller2_Z-Axis_Kurtosis_scaled_roll_std,roller2 Kurtosis std,-0.08144775066786525
2025-01-08 01:05:19,2025-01-08 01:05:19,1,high,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.13782768040639182
2025-01-08 02:08:09,2025-01-08 02:08:09,1,high,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.13568942616837354
2025-01-08 05:20:30,2025-01-08 05:24:39,3,medium,gearbox_X-Axis_Kurtosis_scaled,gearbox Kurtosis scaled,-0.04947729290957259
2025-01-08 07:09:40,2025-01-08 07:19:59,4,medium,motor_X-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.0540019802999443
2025-01-08 13:11:59,2025-01-08 13:16:39,4,medium,roller1_X-Axis_RMS_Velocity_mm/sec_scaled_delta,roller1 RMS delta,-0.057146596377568915
2025-01-08 13:58:19,2025-01-08 14:05:39,6,medium,roller1_X-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.11819594427362068
2025-01-09 00:20:49,2025-01-09 00:32:29,5,medium,roller2_X-Axis_RMS_Velocity_mm/sec_scaled,roller2 RMS scaled,-0.06352889238511328
2025-01-09 10:20:59,2025-01-09 10:24:58,3,medium,roller2_X-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.1087155687615281
2025-01-09 15:18:29,2025-01-09 15:23:29,4,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.0957372840027606
2025-01-09 16:18:19,2025-01-09 16:25:48,4,medium,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.0520823170351955
